class,#Samples,#Frames,Extent,Seq,Short,Passive,AvgMotion,PoseVar,PoseRatio,Obj,#Obj,#Verbs,Interact,Tool
c000,635,8592.2,18.067,1,1,0,0.0075889,0.74796,0.56092,1,8,20,0,0
c001,640,6894.3,14.321,1,0,1,0.0077216,0.76663,0.61121,1,8,20,1,0
c002,479,4705.7,13.501,1,0,1,0.0072459,0.76263,0.622,1,8,19,1,0
c003,303,2429.9,10.475,1,0,1,0.0083394,0.7225,0.69619,1,8,11,0,0
c004,266,4460.6,20.998,0,1,1,0.0081711,0.76342,0.66293,1,8,8,1,0
c005,81,1298.3,20.179,0,1,1,0.006365,0.78896,0.50859,1,8,8,1,0
c006,618,4362.7,7.9972,0,0,1,0.0072279,0.73188,0.55598,1,3,7,1,0
c007,27,521.8,23.248,0,1,1,0.0054133,0.75122,0.41524,1,3,5,1,1
c008,784,5497.5,8.0932,0,0,1,0.0085719,0.77737,0.54199,1,3,8,1,0
c009,879,6600.6,9.9229,1,0,1,0.0062028,0.76797,0.5524,1,6,20,1,0
c010,46,956.8,25.02,0,1,0,0.007262,0.71556,0.47923,0,6,7,1,0
c011,728,17006,26.8,0,1,0,0.0043799,0.76728,0.46478,0,6,7,1,0
c012,202,3286.1,19.634,1,1,1,0.0055275,0.74646,0.59665,0,6,8,1,0
c013,42,636.4,18.571,0,1,1,0.0064627,0.75302,0.52531,1,6,8,1,1
c014,241,5522.2,26.012,0,1,1,0.0052337,0.78789,0.44188,0,6,2,1,0
c015,1055,20626,23.627,1,1,0,0.0055941,0.73369,0.4395,1,6,20,0,0
c016,673,12233,21.694,1,1,1,0.0055197,0.72391,0.39976,1,6,2,0,0
c017,219,1587.4,9.9763,1,0,1,0.0066631,0.74976,0.51662,1,6,20,1,0
c018,298,2425.2,11.227,1,0,1,0.0055524,0.74232,0.57499,1,6,19,1,0
c019,217,4624.6,25.559,1,1,1,0.0059789,0.71892,0.49913,1,6,1,0,0
c020,678,10812,20.542,1,1,0,0.0061753,0.70865,0.61146,1,5,20,0,0
c021,356,2867.9,10.157,1,0,1,0.0056686,0.71239,0.4953,1,5,8,0,0
c022,280,2156.8,9.624,1,0,1,0.0068572,0.75956,0.59272,1,5,20,1,0
c023,278,2259.2,10.807,1,0,1,0.0069413,0.73504,0.52823,1,5,19,1,0
c024,89,562.1,7.018,1,0,1,0.0058581,0.72732,0.53656,1,5,11,1,0
c025,187,1104.6,6.84,1,0,1,0.0037177,0.73148,0.35867,1,8,7,0,0
c026,615,11520,22.906,1,1,0,0.0051216,0.70704,0.54845,1,8,20,0,0
c027,280,2469.6,12.648,1,0,1,0.0043912,0.74995,0.45413,1,8,8,0,0
c028,248,1942.3,11.331,1,0,1,0.0053702,0.75632,0.57339,1,8,20,1,0
c029,92,1222.8,17.26,1,1,0,0.0035783,0.68933,0.23582,0,8,3,0,0
c030,257,2181.3,12.114,1,0,1,0.0065121,0.75806,0.62736,1,8,19,1,0
c031,58,370.2,7.0867,1,0,1,0.0050066,0.7124,0.55674,1,8,11,1,0
c032,483,8580.8,21.767,1,1,0,0.0038266,0.71189,0.4187,1,8,6,0,0
c033,575,9272.4,21.199,1,1,0,0.007977,0.76209,0.62617,1,6,20,0,0
c034,276,2320.4,10.734,1,0,1,0.0078764,0.77287,0.66369,1,6,20,1,0
c035,286,2158.9,9.4414,1,0,1,0.0089257,0.77298,0.68815,1,6,19,1,0
c036,154,1010.8,7.6676,1,0,1,0.0082284,0.72636,0.57577,1,6,11,1,0
c037,125,1804.1,18.121,1,1,1,0.0094086,0.74451,0.6429,1,6,8,1,0
c038,232,3374.4,17.567,0,1,1,0.0073097,0.76185,0.49522,1,6,8,1,1
c039,96,826.9,10.515,1,0,1,0.005748,0.75254,0.59588,1,7,7,0,0
c040,331,5078.3,20.076,1,1,0,0.0071837,0.73232,0.56598,1,7,20,0,0
c041,181,1543.8,10.791,1,0,1,0.0054562,0.7557,0.58607,1,7,8,0,0
c042,201,1698.2,11.175,1,0,1,0.0071017,0.7751,0.74146,1,7,20,1,0
c043,180,1558.9,11.478,1,0,1,0.0062341,0.77316,0.60435,1,7,19,1,0
c044,154,1575.9,14.188,1,0,1,0.0066714,0.75547,0.4769,1,7,19,1,0
c045,34,216.7,8.6639,1,0,1,0.0060121,0.72749,0.83465,1,7,11,1,0
c046,100,659.5,7.0658,1,0,1,0.0044474,0.77201,0.57123,1,7,7,0,0
c047,259,4862.6,23.26,1,1,0,0.0050501,0.74314,0.50781,1,7,20,0,0
c048,99,735.5,8.8159,1,0,1,0.0048126,0.79864,0.61384,1,7,8,0,0
c049,91,652.1,7.8939,1,0,1,0.0083025,0.76981,0.62709,1,7,20,1,0
c050,82,670.4,9.4996,1,0,1,0.006618,0.77822,0.65402,1,7,19,1,0
c051,347,6807.9,23.808,1,1,0,0.0037313,0.76603,0.39809,1,7,6,0,0
c052,341,6859.9,23.879,1,1,0,0.004568,0.76887,0.50261,1,7,2,0,0
c053,233,3263.5,18.346,1,1,0,0.007659,0.67704,0.72146,1,6,20,0,0
c054,177,1618.4,11.398,1,0,1,0.0065049,0.73512,0.71421,1,6,20,1,0
c055,162,2359.9,17.43,0,0,1,0.0055458,0.73562,0.6191,1,6,2,0,0
c056,160,1520.8,12.628,1,0,1,0.0064851,0.7186,0.78102,1,6,19,1,0
c057,196,1988.1,12.299,0,0,1,0.0065238,0.70063,0.667,1,6,2,0,0
c058,73,584.6,8.9329,1,0,1,0.0069876,0.68381,0.56818,1,6,11,1,0
c059,1260,27773,26.011,0,1,0,0.0043387,0.78737,0.51203,0,2,7,0,0
c060,46,810.6,20.114,0,1,0,0.01024,0.6887,0.47835,0,2,2,0,0
c061,1075,19012,22.59,1,1,1,0.0058799,0.72331,0.46277,1,6,20,0,0
c062,495,5069.9,15.48,1,0,1,0.005922,0.76506,0.59074,1,6,20,1,0
c063,683,6636.8,13.755,1,0,1,0.0058063,0.75158,0.51603,1,6,19,1,0
c064,52,431.2,11.921,1,0,1,0.0082691,0.72193,0.4669,1,6,11,1,0
c065,459,6857.9,19.719,1,1,1,0.0058032,0.73043,0.44698,1,5,3,0,0
c066,29,557.4,22.251,1,1,1,0.0049224,0.71635,0.58377,1,5,1,0,0
c067,400,7414.5,23.047,1,1,0,0.0064887,0.71348,0.44682,1,5,20,0,0
c068,154,1109.6,9.3641,1,0,1,0.0061181,0.7401,0.44711,1,5,20,1,0
c069,161,1280,10.659,1,0,1,0.0060633,0.73759,0.53078,1,5,19,1,0
c070,443,7821.7,21.914,1,1,0,0.0070421,0.73136,0.62893,1,6,20,0,0
c071,205,1878.8,11.935,1,0,1,0.0083082,0.72649,0.67844,1,6,20,1,0
c072,323,6245.6,23.76,0,1,0,0.0051061,0.78754,0.59994,1,6,2,0,0
c073,200,1721.5,11.098,1,0,1,0.0078968,0.758,0.74471,1,6,19,1,0
c074,105,709.9,7.5219,1,0,1,0.0087995,0.72956,0.68143,1,6,11,1,0
c075,139,1880.7,16.337,1,1,1,0.010329,0.73578,0.66062,1,6,8,1,1
c076,385,6381.2,21.105,1,1,0,0.00554,0.73211,0.6442,1,5,20,0,0
c077,171,1335.1,9.17,1,0,1,0.0070285,0.78657,0.73609,1,5,20,1,0
c078,159,2632,20.441,1,1,0,0.0032925,0.78097,0.60858,1,5,2,0,0
c079,161,1213,9.2646,1,0,1,0.0093396,0.77438,0.75252,1,5,19,1,0
c080,134,939.2,9.4204,1,0,1,0.0065236,0.78289,0.75408,1,5,11,1,0
c081,503,4335.1,11.435,1,0,1,0.0058389,0.76841,0.51663,1,2,20,1,0
c082,228,3694.5,20.15,0,1,1,0.0054033,0.78508,0.52996,1,2,8,1,0
c083,74,606.7,11.397,1,0,1,0.0059332,0.75712,0.47107,1,5,19,1,0
c084,133,2357.5,21.054,1,1,0,0.0054949,0.7518,0.42654,1,5,20,0,0
c085,28,389.3,18.961,1,0,0,0.0054131,0.68691,0.23029,0,5,3,0,0
c086,62,564.8,11.771,1,0,1,0.0069767,0.67356,0.26416,1,5,20,1,0
c087,231,2830.6,15.594,1,0,1,0.0053749,0.71391,0.34298,1,6,1,0,1
c088,198,3123.3,19.96,1,1,0,0.0048892,0.74231,0.42007,0,5,6,0,0
c089,53,499.1,10.913,0,0,1,0.0069269,0.69019,0.8443,1,4,7,1,0
c090,87,861.5,11.958,0,0,1,0.0073561,0.68811,0.55356,1,4,8,1,0
c091,39,581.8,17.594,0,1,1,0.0028017,0.70188,0.24942,1,4,8,1,0
c092,305,4019.8,16.426,0,1,0,0.0041963,0.79037,0.50271,0,4,6,0,0
c093,94,1761,22.601,1,1,0,0.0072941,0.74604,0.54044,1,4,20,0,0
c094,111,1346.8,15.408,1,0,1,0.0098278,0.77508,0.59844,0,4,3,0,0
c095,37,583,18.6,0,1,1,0.0052954,0.70815,0.34225,1,4,8,0,1
c096,449,6810.2,18.994,0,1,1,0.0063349,0.79752,0.58291,0,4,6,0,0
c097,1444,9488.2,7.881,0,0,1,0.010847,0.73142,0.75635,0,1,1,0,0
c098,364,6697.4,22.553,1,1,0,0.0087275,0.68331,0.64374,1,5,20,0,0
c099,100,730.9,8.5455,1,0,1,0.0093144,0.73952,0.59565,1,5,20,1,0
c100,127,1107.2,12.114,1,0,1,0.0077808,0.73205,0.69763,1,5,19,1,0
c101,25,147.8,6.5047,1,0,1,0.01758,0.67241,0.5986,1,5,11,1,0
c102,237,4261.5,21.378,1,1,1,0.010251,0.69218,0.74882,1,5,8,1,1
c103,36,561.4,17.586,1,1,1,0.0059214,0.7723,0.54461,1,3,5,1,1
c104,207,1459.2,9.2654,0,0,1,0.008699,0.773,0.68007,1,3,2,1,0
c105,189,1235.3,8.7506,0,0,1,0.007647,0.78053,0.76502,1,3,2,1,0
c106,1134,12423,14.241,1,0,1,0.0046989,0.73072,0.44627,1,6,1,0,0
c107,1014,17346,21.402,1,1,0,0.0049737,0.72705,0.49396,1,6,20,0,0
c108,276,2972.2,12.765,1,0,1,0.005568,0.75199,0.41444,1,6,1,0,1
c109,481,3745.4,10.549,1,0,1,0.004974,0.76688,0.50119,1,6,20,1,0
c110,536,4413.7,11.562,1,0,1,0.0052809,0.78336,0.52146,1,6,19,1,0
c111,49,803.5,20.206,0,1,1,0.0067367,0.80481,0.36058,1,6,8,1,1
c112,410,2825.5,8.0781,1,0,1,0.0058037,0.80179,0.56846,1,3,7,1,0
c113,595,4198.5,8.3151,1,0,1,0.0075481,0.80583,0.59183,1,3,8,1,0
c114,218,3840.8,21.273,0,1,1,0.0056438,0.8001,0.61596,1,3,8,1,0
c115,324,6209.8,23.771,1,1,0,0.0051002,0.70102,0.47825,1,4,20,0,0
c116,168,1414.7,11.061,1,0,1,0.0043211,0.73776,0.49533,1,4,20,1,0
c117,175,1669.3,13.414,1,0,1,0.0065067,0.73423,0.56515,1,4,19,1,0
c118,763,12733,21.092,1,1,0,0.0053697,0.74288,0.46952,1,4,20,0,0
c119,452,3941.5,11.916,1,0,1,0.0076251,0.74942,0.53252,1,4,20,1,0
c120,375,3835,14.74,1,0,1,0.0069259,0.77427,0.60229,1,4,19,1,0
c121,112,1937.6,21.316,0,1,1,0.0064477,0.77138,0.40346,1,4,8,1,1
c122,160,2643.2,21.177,0,1,0,0.003841,0.79454,0.70124,0,2,3,1,0
c123,484,10106,25.163,0,1,0,0.0042789,0.76354,0.65472,0,2,7,1,0
c124,168,2973.7,21.774,0,1,0,0.0033059,0.81868,0.71539,0,4,3,1,0
c125,395,9022.2,26.518,0,1,0,0.0043648,0.75949,0.55203,0,4,7,1,0
c126,308,2098,8.4671,1,0,1,0.0084874,0.70408,0.69622,1,4,11,1,0
c127,478,7300,19.252,0,1,1,0.0084477,0.75231,0.65416,1,4,8,1,0
c128,282,4005.6,18.438,1,1,0,0.0045879,0.70378,0.42609,1,2,20,0,0
c129,162,1670.9,12.436,1,0,1,0.0040009,0.70167,0.3941,1,2,3,0,0
c130,207,2846.9,18.168,1,0,1,0.0057006,0.78529,0.56776,1,1,20,1,0
c131,46,597.1,18.664,1,0,1,0.0021393,0.79239,0.57939,0,2,3,0,0
c132,353,7111.6,25.111,1,1,0,0.0034179,0.79934,0.60469,0,2,6,0,0
c133,98,1008.1,12.651,1,0,1,0.0036525,0.80909,0.75825,0,3,2,1,0
c134,257,4646.7,23.21,1,1,0,0.0045566,0.80692,0.76461,0,3,3,1,0
c135,315,6432.7,24.536,1,1,0,0.0057436,0.75831,0.61982,0,3,7,1,0
c136,35,796.7,25.403,1,1,1,0.003758,0.77713,0.55945,1,3,5,0,1
c137,213,4081.1,22.469,1,1,0,0.0068165,0.75963,0.70555,1,3,20,0,1
c138,57,617.9,14.474,1,0,1,0.0077617,0.76302,0.61425,1,3,19,1,0
c139,81,1064,16.349,0,0,1,0.0072445,0.7245,0.32566,1,1,8,1,0
c140,31,594.6,22.467,0,1,1,0.0050762,0.72329,0.41839,1,2,5,1,1
c141,506,4091.5,10.824,0,0,1,0.0075294,0.72243,0.60835,1,2,1,1,0
c142,192,1197.8,6.4757,1,0,1,0.0077723,0.72584,0.60479,1,2,7,1,0
c143,250,1807.6,8.854,1,0,1,0.0073063,0.74886,0.54962,1,2,8,1,0
c144,165,1696.9,14.743,0,0,1,0.0076724,0.77322,0.54007,1,1,5,0,0
c145,237,4633.5,23.216,1,1,1,0.0052741,0.75818,0.4569,1,4,2,1,1
c146,245,2330.8,11.241,1,0,1,0.0034129,0.80635,0.72202,0,7,2,0,0
c147,338,5904.7,20.86,1,1,1,0.0048254,0.74631,0.38875,1,6,1,1,0
c148,332,5283,18.325,0,0,1,0.0065701,0.77695,0.67351,1,8,2,0,0
c149,588,7402.4,16.823,0,0,1,0.0050884,0.71323,0.49226,0,7,3,0,0
c150,357,3010.3,10.762,0,0,1,0.01267,0.68544,0.73125,0,7,1,0,0
c151,964,7129.1,9.07,1,0,1,0.009854,0.78172,0.78758,0,7,7,1,0
c152,1029,12500,16.6,0,1,0,0.0053833,0.73121,0.45055,0,7,3,0,0
c153,643,5834.2,11.271,0,0,0,0.006685,0.75937,0.41262,0,7,1,0,0
c154,1341,10828,12.345,1,0,1,0.0069203,0.76277,0.67899,0,7,2,1,0
c155,395,4903.4,14.439,0,1,1,0.0065428,0.7137,0.60234,1,8,2,0,0
c156,936,13910,19.632,1,1,1,0.0049639,0.75177,0.48035,1,6,3,0,0
